window_id,rule_a,rule_b,intersection_users,jaccard
rolling_2014_03,no_active_history,history_insufficient,3172,0.35712677324926817
rolling_2014_03,no_active_history,observed_never_used,4473,0.5847058823529412
rolling_2014_03,no_active_history,passive_balance_only,5,0.00065359477124183
rolling_2014_03,no_active_history,funded_never_withdrawn,0,0.0
rolling_2014_03,no_active_history,dormant_zero_balance,0,0.0
rolling_2014_03,no_active_history,low_turnover_holder,5,0.0005350454788657035
rolling_2014_03,no_active_history,frequent_large_roundtrip,0,0.0
rolling_2014_03,no_active_history,frequent_small_consumer,0,0.0
rolling_2014_03,no_active_history,transfer_oriented,0,0.0
rolling_2014_03,no_active_history,consumption_oriented,0,0.0
rolling_2014_03,history_insufficient,observed_never_used,0,0.0
rolling_2014_03,history_insufficient,passive_balance_only,0,0.0
rolling_2014_03,history_insufficient,funded_never_withdrawn,659,0.12021160160525356
rolling_2014_03,history_insufficient,dormant_zero_balance,0,0.0
rolling_2014_03,history_insufficient,low_turnover_holder,441,0.07787391841779975
rolling_2014_03,history_insufficient,frequent_large_roundtrip,0,0.0
rolling_2014_03,history_insufficient,frequent_small_consumer,1,0.00020837674515524068
rolling_2014_03,history_insufficient,transfer_oriented,329,0.046646816957323124
rolling_2014_03,history_insufficient,consumption_oriented,206,0.029837775202780997
rolling_2014_03,observed_never_used,passive_balance_only,0,0.0
rolling_2014_03,observed_never_used,funded_never_withdrawn,0,0.0
rolling_2014_03,observed_never_used,dormant_zero_balance,0,0.0
rolling_2014_03,observed_never_used,low_turnover_holder,0,0.0
rolling_2014_03,observed_never_used,frequent_large_roundtrip,0,0.0
rolling_2014_03,observed_never_used,frequent_small_consumer,0,0.0
rolling_2014_03,observed_never_used,transfer_oriented,0,0.0
rolling_2014_03,observed_never_used,consumption_oriented,0,0.0
rolling_2014_03,passive_balance_only,funded_never_withdrawn,0,0.0
rolling_2014_03,passive_balance_only,dormant_zero_balance,0,0.0
rolling_2014_03,passive_balance_only,low_turnover_holder,5,0.0029411764705882353
rolling_2014_03,passive_balance_only,frequent_large_roundtrip,0,0.0
rolling_2014_03,passive_balance_only,frequent_small_consumer,0,0.0
rolling_2014_03,passive_balance_only,transfer_oriented,0,0.0
rolling_2014_03,passive_balance_only,consumption_oriented,0,0.0
rolling_2014_03,funded_never_withdrawn,dormant_zero_balance,0,0.0
rolling_2014_03,funded_never_withdrawn,low_turnover_holder,1095,0.46754910333048677
rolling_2014_03,funded_never_withdrawn,frequent_large_roundtrip,0,0.0
rolling_2014_03,funded_never_withdrawn,frequent_small_consumer,0,0.0
rolling_2014_03,funded_never_withdrawn,transfer_oriented,0,0.0
rolling_2014_03,funded_never_withdrawn,consumption_oriented,0,0.0
rolling_2014_03,dormant_zero_balance,low_turnover_holder,0,0.0
rolling_2014_03,dormant_zero_balance,frequent_large_roundtrip,0,0.0
rolling_2014_03,dormant_zero_balance,frequent_small_consumer,0,0.0
