window_id,auto_cluster,end_balance_life,direct_purchase_amt_sum_90,total_redeem_amt_sum_90,transfer_amt_sum_90,consume_amt_sum_90,active_flow_days_90,recency_active_days,roundtrip_ratio_90,consume_share_90,bank_purchase_share_90,net_flow_share_90,users
rolling_2014_03,k4_c0,146885.0,653035.0,259737.0,100702.0,30689.0,7.0,7.0,0.2775428342020386,0.2451748205918013,0.994349755048445,0.11615166226754949,3989
rolling_2014_03,k4_c1,263.0,0.0,727.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1623
rolling_2014_03,k4_c2,407011.0,394480.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,1349
rolling_2014_03,k4_c3,883308.0,2776800.0,1600639.0,785208.0,491151.0,25.0,2.0,0.3575764666808593,0.45344272083071113,0.8572525168120759,0.07898176297871426,1106
rolling_2014_04,k3_c0,570.0,0.0,0.0,0.0,0.0,1.0,85.0,0.0,0.0,0.0,0.0,1878
rolling_2014_04,k3_c1,563144.5,2479941.0,1746939.0,862051.5,429358.5,23.0,2.0,0.3880820437285567,0.4243084609042387,0.8817582255541343,0.0446687891228862,1836
rolling_2014_04,k3_c2,111241.0,509206.5,99724.0,21176.5,3650.0,5.0,13.0,0.11193408649724809,0.010220101495794158,1.0,0.20872899561189395,6276
rolling_2014_05,k4_c0,9747.0,272025.0,281961.0,125748.0,17989.0,6.0,13.0,0.5254112146072393,0.10454534654406349,1.0,0.003230727452797035,5003
rolling_2014_05,k4_c1,528669.5,2223167.5,1716377.5,734623.0,476787.5,25.0,2.0,0.3836025143247234,0.4240190132329583,0.8608101438796186,0.01660018584750276,1788
rolling_2014_05,k4_c2,916436.0,704870.0,950.0,0.0,0.0,3.0,16.0,0.0,0.0,1.0,0.9968959282374705,2333
rolling_2014_05,k4_c3,1070.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2110
rolling_2014_06,k5_c0,7582.0,0.0,102653.0,5455.0,10070.0,3.0,33.0,0.0,0.6993714397957179,0.0,-1.0,1619
rolling_2014_06,k5_c1,1070.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,1706
rolling_2014_06,k5_c2,485647.0,1970769.0,1747827.0,743546.0,514550.0,28.0,2.0,0.40821193657149063,0.44669624878812736,0.818311984705653,0.0025490569685319257,1683
rolling_2014_06,k5_c3,980124.5,664644.0,990.5,0.0,0.0,3.0,17.0,0.0,0.0,1.0,0.9968656415269368,2064
rolling_2014_06,k5_c4,12521.0,295225.5,276415.0,118841.5,20434.5,7.0,13.0,0.5432986251283,0.15265992513448629,1.0,0.0025393705610990097,4928
rolling_2014_07,k5_c0,1189.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,2249
rolling_2014_07,k5_c1,12165.0,288051.0,273100.0,118468.0,25477.0,7.0,12.0,0.5955818688133293,0.17021100998085642,1.0,0.0009340419543910169,4655
rolling_2014_07,k5_c2,10709.0,0.0,98895.5,442.5,13678.0,3.0,28.0,0.0,0.9491656835977045,0.0,-1.0,1970
rolling_2014_07,k5_c3,1001995.0,687662.0,4943.0,0.0,0.0,3.0,15.0,0.0,0.0,1.0,0.9836812416767725,2049
rolling_2014_07,k5_c4,377109.0,1575000.0,1517876.0,593752.0,507967.0,30.0,2.0,0.37821303207013907,0.5122246757241853,0.8365706843701857,0.00043911501435568316,1637
holdout_2014_08,k4_c0,1002280.0,711590.0,10891.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,0.953660669960521,2061
holdout_2014_08,k4_c1,16565.0,0.0,119844.0,2011.0,16557.0,3.0,28.0,0.0,0.8639952977225752,0.0,-1.0,2115
holdout_2014_08,k4_c2,2400.0,13134.0,14420.0,0.0,0.0,2.0,49.0,0.0,0.0,0.018789980732177265,0.0,6749
holdout_2014_08,k4_c3,405100.0,1774760.0,1702652.0,699239.0,487892.0,27.0,2.0,0.42989572963973277,0.48997096567347975,0.8666473984122178,0.00014102387169575965,2178
