window_id,rule,users,coverage,future_direct_active_rate,future_redeem_active_rate,future_direct_active_rate_lift,future_redeem_active_rate_lift,future_direct_purchase_mean,future_total_redeem_mean
rolling_2014_03,no_active_history,7650,0.4412782648823258,0.0792156862745098,0.04745098039215686,0.2576516204981054,0.1425173589879472,76935.9614379085,15473.783137254903
rolling_2014_03,history_insufficient,4404,0.25403784033225657,0.1991371480472298,0.18710263396911897,0.6477001122977064,0.5619562131823711,343370.6148955495,210965.05495004542
rolling_2014_03,observed_never_used,4473,0.2580179972311952,0.08316566063044936,0.04963112005365526,0.27049904178038836,0.1490653321639237,60023.82740889783,15839.749608763694
rolling_2014_03,passive_balance_only,5,0.0002884171665897554,0.0,0.2,0.0,0.6006930006930007,0.0,159.0
rolling_2014_03,funded_never_withdrawn,1737,0.10019612367328104,0.4409902130109384,0.4450201496833621,1.434335146858842,1.3366024454107355,764600.6873920553,649636.2619458837
rolling_2014_03,dormant_zero_balance,387,0.02232348869404707,0.18863049095607234,0.13953488372093023,0.6135268651434278,0.4190881400183725,133728.14987080105,76928.58656330749
rolling_2014_03,low_turnover_holder,1700,0.09806183664051685,0.30058823529411766,0.3235294117647059,0.9776731045138505,0.9717092658269129,346350.82588235295,231704.46823529413
rolling_2014_03,frequent_large_roundtrip,206,0.011882787263497924,0.8640776699029126,0.9320388349514563,2.8104409916391915,2.7993460226469935,6828363.325242719,7547304.461165048
rolling_2014_03,frequent_small_consumer,396,0.02284263959390863,0.6843434343434344,0.8712121212121212,2.225849489264123,2.6166551166551164,467616.2474747475,431197.93434343435
rolling_2014_03,transfer_oriented,2978,0.17178126442085834,0.5335795836131632,0.6037609133646743,1.7354851147312937,1.813374773750865,1299608.823707186,1595556.2018132976
rolling_2014_03,consumption_oriented,2706,0.15609137055837563,0.4501108647450111,0.5923872875092387,1.46400036608246,1.7792144865315596,498040.38876570587,485228.6792313378
rolling_2014_04,no_active_history,8659,0.43519123485952654,0.06340224044346922,0.04030488509065712,0.22486887310226505,0.12647000451802629,32479.77052777457,7890.464372329368
rolling_2014_04,history_insufficient,2198,0.11046891491179575,0.21883530482256597,0.21474067333939945,0.7761436827191791,0.6738204033171473,235966.6346678799,135682.8771610555
rolling_2014_04,observed_never_used,7222,0.36296929185304316,0.05870949875380781,0.0369703683190252,0.20822511527709694,0.11600684725495101,23824.667820548326,6464.08155635558
rolling_2014_04,passive_balance_only,4,0.0002010353319595919,0.0,0.0,0.0,0.0,0.0,0.0
rolling_2014_04,funded_never_withdrawn,1603,0.08056490928280645,0.3587024329382408,0.3911416094822208,1.2722107501198174,1.227337108321676,448661.3218964442,321867.0318153462
rolling_2014_04,dormant_zero_balance,483,0.02427501633412072,0.09109730848861283,0.06625258799171843,0.3230950351154954,0.20788956683034562,49914.58592132505,10648.606625258799
rolling_2014_04,low_turnover_holder,1820,0.09147107604161431,0.21373626373626373,0.27362637362637365,0.7580589018824312,0.8585939057000405,165925.60494505495,119942.15824175824
rolling_2014_04,frequent_large_roundtrip,262,0.01316781424335327,0.8396946564885496,0.9083969465648855,2.9781469839844332,2.850398051695557,5133757.164122137,5024502.5610687025
rolling_2014_04,frequent_small_consumer,442,0.022214404181534905,0.6945701357466063,0.8981900452488688,2.463433509973302,2.8183704983940614,558114.2963800905,714429.0180995475
rolling_2014_04,transfer_oriented,3892,0.19560737799668293,0.5069373072970196,0.5637204522096608,1.7979557225113723,1.7688607219075259,1053758.6490236383,976143.713257965
rolling_2014_04,consumption_oriented,2862,0.143840780017088,0.4329140461215933,0.606219426974144,1.535417250567084,1.9022154137367204,410881.4531795947,421346.7955974843
rolling_2014_05,no_active_history,9608,0.43716443716443715,0.044650291423813486,0.025187343880099917,0.175048894918404,0.08613154563510751,23613.750416319734,5500.173501248959
rolling_2014_05,history_insufficient,1767,0.0803985803985804,0.166383701188455,0.1658177702320317,0.6522977140063975,0.5670364017674798,169760.59649122806,101042.01358234296
rolling_2014_05,observed_never_used,8333,0.37915187915187915,0.04344173766950678,0.02424096963878555,0.17031082955769175,0.08289529029426308,24380.382335293412,5742.702268090724
rolling_2014_05,passive_balance_only,4,0.000182000182000182,0.0,0.0,0.0,0.0,0.0,0.0
rolling_2014_05,funded_never_withdrawn,1416,0.06442806442806442,0.2951977401129944,0.3192090395480226,1.1573057317522994,1.0915786947543862,410342.1511299435,287552.09533898305
rolling_2014_05,dormant_zero_balance,640,0.02912002912002912,0.0703125,0.0515625,0.27565610506600075,0.17632497666096156,65427.715625,7074.746875
rolling_2014_05,low_turnover_holder,2071,0.09423059423059423,0.1704490584258812,0.2245292129406084,0.668235712822693,0.7678081596403752,191991.70593915982,122373.54514727186
rolling_2014_05,frequent_large_roundtrip,259,0.011784511784511785,0.8571428571428571,0.9111969111969112,3.360379185566485,3.1159616795216607,5158815.154440154,5357858.988416988
rolling_2014_05,frequent_small_consumer,479,0.021794521794521793,0.6576200417536534,0.8935281837160751,2.578161483707063,3.055541064526513,271258.45929018786,338459.4509394572
rolling_2014_05,transfer_oriented,4186,0.19046319046319046,0.4713330148112757,0.5279503105590062,1.8478339278491291,1.8053978412114264,978299.8595317726,1012090.696129957
rolling_2014_05,consumption_oriented,3221,0.14655564655564657,0.42440235951567834,0.5827382800372555,1.6638449977587546,1.9927527491300452,303055.06519714376,317757.8900962434
rolling_2014_06,no_active_history,10339,0.43764815441923466,0.035303220814392106,0.023213076699874262,0.14496841448273928,0.08276271113157706,14943.177289873296,4534.699874262501
rolling_2014_06,history_insufficient,1446,0.06120894006095496,0.17219917012448133,0.16804979253112035,0.7071151042970184,0.5991560970050086,189386.25864453666,170246.69017980635
rolling_2014_06,observed_never_used,9310,0.39409075516423975,0.03168635875402793,0.02062298603651987,0.13011620705808374,0.07352813494215898,12703.089151450054,3497.5091299677765
rolling_2014_06,passive_balance_only,4,0.00016931933626820184,0.25,0.25,1.0265948200938642,0.8913371566555992,2519.75,3100.0
rolling_2014_06,funded_never_withdrawn,1336,0.05655265831357941,0.26497005988023953,0.28293413173652693,1.0880675638120596,1.0087588180114266,260076.48353293413,334305.93488023954
rolling_2014_06,dormant_zero_balance,864,0.036572976633931595,0.0787037037037037,0.05324074074074074,0.323187258177698,0.1898218018803591,36462.65277777778,14340.528935185184
rolling_2014_06,low_turnover_holder,2369,0.10027937690484254,0.13929928239763614,0.1722245673279865,0.5720156870088225,0.6140406245934732,107122.98860278599,164639.8552131701
