feature,target,pearson_raw,pearson_log_target,spearman,residual_corr_log_target,lag1_spearman,lag7_spearman,diff1_corr_log_target,diff7_corr_log_target,lagged_diff1_corr_log_target,days,analysis_grain,direct_abs_spearman,predictor_safe_abs_lag1,short_run_abs_diff1,predictor_safe_abs_lagged_diff1
mfd_daily_yield,total_purchase_amt,0.4351398703837754,0.3400884362843844,0.3224890344743185,0.7258796528375951,0.31903235733202,0.3517165359254528,0.16922529362280508,0.2397883504429087,0.024349971111663874,427,date,0.3224890344743185,0.31903235733202,0.16922529362280508,0.024349971111663874
mfd_daily_yield,direct_purchase_amt,0.43620045387626105,0.34054898634471326,0.32301578970984957,0.7233651886781689,0.31958223367775235,0.3518493518059561,0.1687953843637132,0.23991092216949542,0.024512655394968937,427,date,0.32301578970984957,0.31958223367775235,0.1687953843637132,0.024512655394968937
mfd_daily_yield,purchase_bal_amt,0.26089462992039514,0.22050999115024017,0.2184969156882461,0.42990901442601764,0.21161601168522712,0.21548566758733773,0.12180566423961009,0.20833057700604396,0.02188480079095564,427,date,0.2184969156882461,0.21161601168522712,0.12180566423961009,0.02188480079095564
mfd_daily_yield,purchase_bank_amt,0.46094414997070765,0.3563134663233533,0.33517115807398956,0.7944697368681808,0.3336982618553297,0.3725550236352518,0.14245270379205965,0.240466313447935,0.03455977312307251,427,date,0.33517115807398956,0.3336982618553297,0.14245270379205965,0.03455977312307251
mfd_daily_yield,share_amt,0.1506006950746128,0.21467077127659737,0.24681923841141956,0.8304570131149205,0.25193906112793163,0.30808983957712477,0.7124916519815053,0.2584949411792757,-0.30658242115366413,427,date,0.24681923841141956,0.25193906112793163,0.7124916519815053,0.30658242115366413
mfd_daily_yield,total_redeem_amt,0.047800874336780305,0.13543975224504365,0.05598417838438626,0.5523864851850564,0.04640723523959824,0.09907360113498659,0.13973149141844152,0.13168696836074426,-0.07273363336550447,427,date,0.05598417838438626,0.04640723523959824,0.13973149141844152,0.07273363336550447
mfd_daily_yield,consume_amt,-0.11668727430482896,0.10627427852214366,-0.09295784894589289,0.6059376579637192,-0.1017275896285168,-0.06261637080446217,0.10924383148061384,0.15848692434147046,-0.1115747368940349,427,date,0.09295784894589289,0.1017275896285168,0.10924383148061384,0.1115747368940349
mfd_daily_yield,transfer_amt,0.08239565714129267,0.1394930903935673,0.0860792810172774,0.513985469415004,0.07935573274226927,0.1328994573256855,0.10098519091878196,0.0950040825135359,-0.04042598105994119,427,date,0.0860792810172774,0.07935573274226927,0.10098519091878196,0.04042598105994119
mfd_daily_yield,tftobal_amt,0.03456673256851969,0.05025214673853049,0.021665092181016643,0.2152889761106701,0.018853812443664696,0.06876015808654959,0.04037690787040386,0.019798184300385775,0.053182868340943774,427,date,0.021665092181016643,0.018853812443664696,0.04037690787040386,0.053182868340943774
mfd_daily_yield,tftocard_amt,0.08598110118638397,0.21844156036051746,0.10317156385843883,0.4605817162255012,0.09789342379466655,0.14730915030379801,0.11269876502723869,0.07749633360094534,-0.0792011299000127,427,date,0.10317156385843883,0.09789342379466655,0.11269876502723869,0.0792011299000127
mfd_daily_yield,tBalance,-0.04233209382320418,0.12013677085569578,0.013726385990518937,0.7643169869708712,0.023224883127029982,0.0755362785363016,-0.056234585441560715,-0.1724536606919385,0.005729919772445889,427,date,0.013726385990518937,0.023224883127029982,0.056234585441560715,0.005729919772445889
mfd_daily_yield,yBalance,-0.04937258601621944,0.11653605065102672,0.007307370581211644,0.7558979391680898,0.016522134948275077,0.06996457136389432,-0.11578822621880927,-0.19628447851813174,-0.056232108027704904,427,date,0.007307370581211644,0.016522134948275077,0.11578822621880927,0.056232108027704904
mfd_7daily_yield,total_purchase_amt,0.4268141852581495,0.31216869756425175,0.3057481837702069,0.6995762810570079,0.30844036970157085,0.3390214736806471,0.07846376163968552,0.08905046907132301,-0.013422538938382501,427,date,0.3057481837702069,0.30844036970157085,0.07846376163968552,0.013422538938382501
mfd_7daily_yield,direct_purchase_amt,0.427733134525646,0.3124818999875718,0.30611695202028794,0.6969773758518724,0.3087562487512519,0.3389153016476961,0.07828350431231948,0.08893196461936843,-0.01339050373057094,427,date,0.30611695202028794,0.3087562487512519,0.07828350431231948,0.01339050373057094
mfd_7daily_yield,purchase_bal_amt,0.2356363981121082,0.18281235118066996,0.19427397315509998,0.39448137368885167,0.191704511681536,0.20239199678430475,0.06884152896942691,0.06824445523962513,-0.015617551925054152,427,date,0.19427397315509998,0.191704511681536,0.06884152896942691,0.015617551925054152
