feature,target,metric,eta_squared,effect_label,users,groups,analysis_grain
sex,total_purchase_amt,log1p_amount_per_exposure_day,1.4814905582427722e-05,negligible,28041,2,user
sex,total_purchase_amt,active_day_rate,0.00046467064417393206,negligible,28041,2,user
sex,total_purchase_amt,log1p_positive_day_amount,3.156970968955769e-05,negligible,28041,2,user
sex,direct_purchase_amt,log1p_amount_per_exposure_day,1.5203995473763092e-05,negligible,28041,2,user
sex,direct_purchase_amt,active_day_rate,2.8781328201640264e-05,negligible,28041,2,user
sex,direct_purchase_amt,log1p_positive_day_amount,9.75556672081104e-07,negligible,28041,2,user
sex,purchase_bal_amt,log1p_amount_per_exposure_day,0.00010542032531074755,negligible,28041,2,user
sex,purchase_bal_amt,active_day_rate,5.652178087201575e-05,negligible,28041,2,user
sex,purchase_bal_amt,log1p_positive_day_amount,0.00011748237527598064,negligible,28041,2,user
sex,purchase_bank_amt,log1p_amount_per_exposure_day,1.503857044229624e-05,negligible,28041,2,user
sex,purchase_bank_amt,active_day_rate,1.0577381980631814e-06,negligible,28041,2,user
sex,purchase_bank_amt,log1p_positive_day_amount,1.457623905399172e-06,negligible,28041,2,user
sex,share_amt,log1p_amount_per_exposure_day,0.00036427701535337415,negligible,28041,2,user
sex,share_amt,active_day_rate,0.0005511402043583142,negligible,28041,2,user
sex,share_amt,log1p_positive_day_amount,0.00022843574856337847,negligible,28041,2,user
sex,total_redeem_amt,log1p_amount_per_exposure_day,2.292656253827593e-05,negligible,28041,2,user
sex,total_redeem_amt,active_day_rate,8.275100186408725e-05,negligible,28041,2,user
sex,total_redeem_amt,log1p_positive_day_amount,4.70070421098592e-05,negligible,28041,2,user
sex,consume_amt,log1p_amount_per_exposure_day,0.00027533405629136454,negligible,28041,2,user
sex,consume_amt,active_day_rate,1.048819847487434e-05,negligible,28041,2,user
sex,consume_amt,log1p_positive_day_amount,0.0002930609020201971,negligible,28041,2,user
sex,transfer_amt,log1p_amount_per_exposure_day,0.00046598831740930557,negligible,28041,2,user
sex,transfer_amt,active_day_rate,0.000937367645139256,negligible,28041,2,user
sex,transfer_amt,log1p_positive_day_amount,0.0005531780620751053,negligible,28041,2,user
sex,tftobal_amt,log1p_amount_per_exposure_day,0.0009315201131382124,negligible,28041,2,user
sex,tftobal_amt,active_day_rate,0.0012805751299020845,weak,28041,2,user
sex,tftobal_amt,log1p_positive_day_amount,0.0009368393863157738,negligible,28041,2,user
sex,tftocard_amt,log1p_amount_per_exposure_day,0.0001961281346551407,negligible,28041,2,user
sex,tftocard_amt,active_day_rate,0.00026191818869079724,negligible,28041,2,user
sex,tftocard_amt,log1p_positive_day_amount,0.00026893640770370115,negligible,28041,2,user
sex,tBalance,log1p_amount_per_exposure_day,0.00013022889018037389,negligible,28041,2,user
sex,tBalance,active_day_rate,1.7505324407898828e-05,negligible,28041,2,user
sex,tBalance,log1p_positive_day_amount,0.00011362760082861844,negligible,28041,2,user
sex,yBalance,log1p_amount_per_exposure_day,0.00013016730540882664,negligible,28041,2,user
sex,yBalance,active_day_rate,2.216594286655338e-05,negligible,28041,2,user
sex,yBalance,log1p_positive_day_amount,0.00011332614339938421,negligible,28041,2,user
city,total_purchase_amt,log1p_amount_per_exposure_day,0.017215324991847872,small,28041,7,user
city,total_purchase_amt,active_day_rate,0.016620339361635036,small,28041,7,user
city,total_purchase_amt,log1p_positive_day_amount,0.01240442848165722,small,28041,7,user
city,direct_purchase_amt,log1p_amount_per_exposure_day,0.017211064557403167,small,28041,7,user
city,direct_purchase_amt,active_day_rate,0.004769595571039432,weak,28041,7,user
city,direct_purchase_amt,log1p_positive_day_amount,0.014147531676620462,small,28041,7,user
city,purchase_bal_amt,log1p_amount_per_exposure_day,0.015252148880771425,small,28041,7,user
city,purchase_bal_amt,active_day_rate,0.0035012406848436263,weak,28041,7,user
city,purchase_bal_amt,log1p_positive_day_amount,0.01491068912974503,small,28041,7,user
city,purchase_bank_amt,log1p_amount_per_exposure_day,0.014523758538818201,small,28041,7,user
city,purchase_bank_amt,active_day_rate,0.002919332891554214,weak,28041,7,user
city,purchase_bank_amt,log1p_positive_day_amount,0.012299239058812191,small,28041,7,user
city,share_amt,log1p_amount_per_exposure_day,0.02079050731937302,small,28041,7,user
city,share_amt,active_day_rate,0.01695621488435729,small,28041,7,user
city,share_amt,log1p_positive_day_amount,0.021241585452947298,small,28041,7,user
city,total_redeem_amt,log1p_amount_per_exposure_day,0.015412180209366164,small,28041,7,user
city,total_redeem_amt,active_day_rate,0.009044608696623636,weak,28041,7,user
city,total_redeem_amt,log1p_positive_day_amount,0.012037878121582996,small,28041,7,user
city,consume_amt,log1p_amount_per_exposure_day,0.016751424304857057,small,28041,7,user
city,consume_amt,active_day_rate,0.01013549969377541,small,28041,7,user
city,consume_amt,log1p_positive_day_amount,0.013750466149364395,small,28041,7,user
city,transfer_amt,log1p_amount_per_exposure_day,0.01174817885654272,small,28041,7,user
city,transfer_amt,active_day_rate,0.001803399512388643,weak,28041,7,user
city,transfer_amt,log1p_positive_day_amount,0.010544754002929242,small,28041,7,user
city,tftobal_amt,log1p_amount_per_exposure_day,0.00734837994280514,weak,28041,7,user
city,tftobal_amt,active_day_rate,0.0025478136635263275,weak,28041,7,user
city,tftobal_amt,log1p_positive_day_amount,0.007515467140487856,weak,28041,7,user
city,tftocard_amt,log1p_amount_per_exposure_day,0.011237298068227503,small,28041,7,user
city,tftocard_amt,active_day_rate,0.00126476855483856,weak,28041,7,user
city,tftocard_amt,log1p_positive_day_amount,0.01020126429195759,small,28041,7,user
city,tBalance,log1p_amount_per_exposure_day,0.018178485490143063,small,28041,7,user
city,tBalance,active_day_rate,0.010778294898467055,small,28041,7,user
city,tBalance,log1p_positive_day_amount,0.017607826161782882,small,28041,7,user
city,yBalance,log1p_amount_per_exposure_day,0.018200354511345877,small,28041,7,user
city,yBalance,active_day_rate,0.010869234511821806,small,28041,7,user
city,yBalance,log1p_positive_day_amount,0.01760725702748801,small,28041,7,user
constellation,total_purchase_amt,log1p_amount_per_exposure_day,0.0006745599217857277,negligible,28041,12,user
constellation,total_purchase_amt,active_day_rate,0.0005917655594385218,negligible,28041,12,user
constellation,total_purchase_amt,log1p_positive_day_amount,0.0006511865212658635,negligible,28041,12,user
constellation,direct_purchase_amt,log1p_amount_per_exposure_day,0.0006746351954997253,negligible,28041,12,user
constellation,direct_purchase_amt,active_day_rate,0.0005175418197414123,negligible,28041,12,user
constellation,direct_purchase_amt,log1p_positive_day_amount,0.0007647943014541172,negligible,28041,12,user
constellation,purchase_bal_amt,log1p_amount_per_exposure_day,0.00042811636093660887,negligible,28041,12,user
constellation,purchase_bal_amt,active_day_rate,0.0003852541229321382,negligible,28041,12,user
constellation,purchase_bal_amt,log1p_positive_day_amount,0.0006036536885963732,negligible,28041,12,user
constellation,purchase_bank_amt,log1p_amount_per_exposure_day,0.0005217382309355221,negligible,28041,12,user
constellation,purchase_bank_amt,active_day_rate,0.0005896203779775539,negligible,28041,12,user
constellation,purchase_bank_amt,log1p_positive_day_amount,0.0005400430735237904,negligible,28041,12,user
constellation,share_amt,log1p_amount_per_exposure_day,0.0005553903419136286,negligible,28041,12,user
constellation,share_amt,active_day_rate,0.0006464965848357072,negligible,28041,12,user
constellation,share_amt,log1p_positive_day_amount,0.0006611488656438682,negligible,28041,12,user
constellation,total_redeem_amt,log1p_amount_per_exposure_day,0.0006904720943866499,negligible,28041,12,user
